zipcode,value
89413,2038400.0
89451,820200.0
89448,633150.0
89411,621400.0
89511,583800.0
89519,497600.0
89439,410000.0
89509,376900.0
89138,368300.0
89052,364650.0
89135,361300.0
89521,352700.0
89510,348500.0
89423,345700.0
89441,341450.0
89523,339150.0
89449,335150.0
89703,334350.0
89704,318000.0
89436,314800.0
89155,308300.0
89044,303800.0
89410,302200.0
89144,298350.0
89117,287350.0
89012,285300.0
89124,280550.0
89131,275500.0
89085,273750.0
89034,273500.0
89146,264900.0
89134,264100.0
89113,261250.0
89141,261100.0
89005,260850.0
89074,257000.0
89501,256250.0
89179,254700.0
89444,252750.0
89148,252550.0
89434,252200.0
89149,250500.0
89123,249650.0
89002,248550.0
89508,248200.0
89109,246900.0
89705,246850.0
89503,246250.0
89178,245200.0
89460,244300.0
89084,242000.0
89021,235200.0
89815,234600.0
89801,234400.0
89014,233300.0
89139,232050.0
89166,232000.0
89506,229000.0
89129,227900.0
89128,224450.0
89143,224250.0
89086,223150.0
89147,220650.0
89118,220500.0
89433,218150.0
89130,217050.0
89701,217000.0
89183,214900.0
89706,214750.0
89502,214750.0
89011,211750.0
89120,206250.0
89403,199950.0
89431,197950.0
89081,195000.0
89027,193050.0
89103,190750.0
89015,190450.0
89145,187750.0
89031,186400.0
89061,184700.0
89119,179350.0
89408,176450.0
89440,174700.0
89032,171600.0
89512,171550.0
89122,168200.0
89040,163850.0
89102,163800.0
89048,160850.0
89142,159450.0
89121,158950.0
89029,158950.0
89156,156700.0
89108,156300.0
89104,151350.0
89107,146000.0
89110,145400.0
89429,135950.0
89115,132800.0
89447,128000.0
89060,115450.0
89030,96000.0
